SNP_used,boss,boss_5_10,gwas,reliefF,gain_ratio
1,0.88577235772358,0.8860162601626,0.79650406504065,0.92682926829268,0.92682926829268
2,0.91463414634146,0.91536585365854,0.91056910569106,0.91731707317073,0.92357723577236
3,0.99414634146341,0.99219512195122,0.90926829268293,0.98487804878049,0.92414634146341
4,0.99536585365854,0.99479674796748,0.90886178861789,0.99756097560976,0.92528455284553
5,0.99682926829268,0.9969918699187,0.98593495934959,0.99650406504065,0.92439024390244
6,0.99609756097561,0.9950406504065,0.98430894308943,0.99821138211382,0.92560975609756
7,0.9980487804878,0.99731707317073,0.97764227642276,0.99666666666667,0.92211382113821
8,0.9969918699187,0.99829268292683,0.98268292682927,0.9980487804878,0.91544715447154
9,0.99447154471545,0.99731707317073,0.98268292682927,1,0.99691056910569
10,0.99430894308943,0.99764227642276,0.98284552845528,0.99959349593496,0.99024390243902
11,0.99276422764228,0.99780487804878,0.97983739837398,0.99235772357724,0.99040650406504
12,0.98821138211382,0.99235772357724,0.98008130081301,0.99617886178862,0.99487804878049
13,0.98455284552846,0.99081300813008,0.98162601626016,0.99739837398374,0.99747967479675
14,0.98479674796748,0.98430894308943,0.97813008130081,0.99406504065041,0.99422764227642
15,0.97821138211382,0.98821138211382,0.97455284552846,0.99666666666667,0.98772357723577
16,0.97975609756098,0.99325203252033,0.97821138211382,0.99739837398374,0.98479674796748
17,0.98073170731707,0.99471544715447,0.97764227642276,0.9969918699187,0.98243902439024
18,0.97991869918699,0.99585365853659,0.97455284552846,0.99756097560976,0.98211382113821
19,0.98430894308943,0.99845528455285,0.97333333333333,0.99707317073171,0.9830081300813
20,0.98650406504065,0.99894308943089,0.97626016260163,0.99634146341463,0.97943089430894
21,0.98634146341463,0.9979674796748,0.9890243902439,0.9969918699187,0.98154471544715
22,0.98756097560976,0.9980487804878,0.99154471544715,0.99691056910569,0.98
23,0.98593495934959,0.9979674796748,0.99065040650406,0.99731707317073,0.98455284552846
24,0.9879674796748,0.9979674796748,0.99065040650406,0.99878048780488,0.98487804878049
25,0.98520325203252,0.99813008130081,0.9880487804878,0.99634146341463,0.98479674796748
26,0.99211382113821,0.99691056910569,0.98617886178862,0.99861788617886,0.9750406504065
27,0.99178861788618,0.99691056910569,0.99886178861789,0.99869918699187,0.97577235772358
28,0.99390243902439,0.99886178861789,0.99739837398374,0.99845528455285,0.97788617886179
29,0.99471544715447,0.99861788617886,0.99739837398374,0.99878048780488,0.97943089430894
30,0.99390243902439,0.99934959349593,0.99626016260163,0.9990243902439,0.97926829268293
31,0.99731707317073,0.99886178861789,0.99747967479675,0.99723577235772,0.98138211382114
32,0.99682926829268,0.99813008130081,0.99626016260163,0.99869918699187,0.98040650406504
33,0.99243902439024,0.99959349593496,0.99609756097561,0.99861788617886,0.97886178861789
34,0.99162601626016,0.99951219512195,0.99772357723577,0.99869918699187,0.98048780487805
35,0.99040650406504,0.99910569105691,0.99829268292683,0.99845528455285,0.9809756097561
36,0.99308943089431,0.99861788617886,0.99837398373984,0.99951219512195,0.9809756097561
37,0.99121951219512,0.99926829268293,0.99837398373984,0.99878048780488,0.98365853658537
38,0.9909756097561,0.99951219512195,0.99658536585366,0.99878048780488,0.97731707317073
39,0.99154471544715,0.99975609756098,0.99715447154472,0.99983739837398,0.97772357723577
40,0.99317073170732,0.99951219512195,0.9979674796748,0.99983739837398,0.97723577235772
41,0.9909756097561,0.99764227642276,0.9960162601626,0.99772357723577,0.97731707317073
42,0.98983739837398,0.99951219512195,0.99577235772358,0.99934959349593,0.97991869918699
43,0.99260162601626,0.99869918699187,0.99569105691057,0.99780487804878,0.98406504065041
44,0.98869918699187,0.99910569105691,0.99577235772358,0.99747967479675,0.9819512195122
45,0.9879674796748,0.99910569105691,0.99560975609756,0.99934959349593,0.98227642276423
46,0.9860162601626,0.99512195121951,0.9960162601626,0.99934959349593,0.98918699186992
47,0.9890243902439,0.99691056910569,0.99707317073171,0.99886178861789,0.99073170731707
48,0.98983739837398,0.99674796747967,0.99821138211382,0.99829268292683,0.9949593495935
49,0.98975609756098,0.99772357723577,0.99691056910569,0.99731707317073,0.99089430894309
50,0.98747967479675,0.99626016260163,0.99731707317073,0.99821138211382,0.99373983739837
51,0.98845528455285,0.99707317073171,0.99821138211382,0.99739837398374,0.99373983739837
52,0.9880487804878,0.9980487804878,0.99715447154472,0.99593495934959,0.99325203252033
53,0.98487804878049,0.9969918699187,0.99829268292683,0.99934959349593,0.99479674796748
54,0.98829268292683,0.9979674796748,0.99780487804878,0.9979674796748,0.99731707317073
55,0.98764227642276,0.99878048780488,0.9979674796748,0.99764227642276,0.99487804878049
56,0.98747967479675,0.99788617886179,0.99747967479675,0.99861788617886,0.99593495934959
57,0.98837398373984,0.99569105691057,0.9980487804878,0.99764227642276,0.99536585365854
58,0.99170731707317,0.9960162601626,0.99731707317073,0.99878048780488,0.99609756097561
59,0.99252032520325,0.99569105691057,0.99658536585366,0.99886178861789,0.9960162601626
